cue,R1
man,woman
man,woman
name,Michael
point,decimal
name,title
change,make new
student,teacher
family,love
history,fact
guy,girl
right,left
city,London
car,port
party,time
hand,held
job,helper
moment,precious
office,the
number,maths
night,sky
business,capitalist
business,boring
law,police
time,prompt
father,dad
community,land
month,November
community,police
health,sickness
country,England
room,bedroom
life,love
mother,father
morning,afternoon
work,job
game,play
woman,skirt
day,night
service,waiter
minute,minuscule
problem,Quandary
issue,theme
eye,ball
story,book
people,people person
house,home
week,weekly
question,time
idea,inspiration
side,left
result,
back,truthful
war,peace
company,friends
hour,minute
part,company
body,soul
war,crime
hour,man
system,failure
back,forward
idea,unique
area,vicinity
body,crowd
level,flat
line,dancing
place,position
member,credit union
home,improvement
door,knob
girl,boy
fact,Trey
end,finish
force,wham
school,class
school,class
girl,woman
car,insurance
side,ways
time,passes
eye,tooth
student,party
man,woman
power,big
word,verb
right,wrong
game,grass
kind,happy
level,even
water,chocolate
home,window
lot,acre
issue,subject
life,breath
part,party
city,London
face,mask
father,dad
hand,eye
guy,male
study,cram
job,work
morning,after
place,home
woman,man
name,rose
member,penis
mother,father
reason,mind
name,call
money,time
team,up
service,car
result,oriented
world,study
service,waitress
child,baby
force,gravity
research,lab
question,answer
country,place
kid,Billy
point,sharp
system,analyst
thing,that
line,book
moment,one
number,3
year,yearly
story,book
door,window
party,rock
problem,difficult
house,home
area,room
law,contract
head,lead
end,event
fact,truth
day,night
way,go
company,association
family,mother
change,alter
art,picture
art,paintings
state,of mind
week,time
people,crowd
person,individual
state,digital switch
history,era
level,a-level
game,play
time,hour
problem,discussion
way,no
right,wrong
book,reading
life,energy
student,teacher
power,hungry
group,identity
money,none
research,development
work,job
country,rural
girl,hot
lot,very
mother,father
work,
body,evidence
story,tale
moment,quick
father,dad
fact,info
end,fin
office,closed
kind,good
face,expression
office,TV
area,location
home,is where the heart is
city,guilt
side,right
world,earth
force,Jedi
people,persons
point,blank
day,light
guy,man
door,floor
result,consequence
air,breath
water,drink
head,body
morning,get up
week,day
air,sky
hour,time
kid,child
eye,beautiful
study,work
night,dark
car,walk
thing,object
history,study
war,hate
law,order
back,spine
case,beer
month,day
hand,eye
word,association
number,numerals
man,love
person,independent
job,occupation
place,over
person,hello
community,spirit
community,service
line,straight
team,group
business,money
room,space
family,love
system,equation
business,class
house,party
business,as usual
company,business
issue,topic
company,corporation
minute,small
member,forum
question,query
reason,science
woman,man
party,hearty
girl,boy
people,an anime show
house,home
world,earth
story,tale
month,year
minute,small
home,house
issue,problem
week,weak
team,player
life,live
face,head
group,friends
money,green
place,person
child,cry
right,left
game,play
water,fluid
word,sentence
power,electricity
student,school
history,parody
party,fiesta
health,wealth
body,lithe
end,over
state,nation
lot,batch
moment,time
car,door
change,world
door,way
night,sleep
case,load
room,living dining
question,answer
war,world
level,black belt
way,path
morning,dawning
result,outcome
member,involved
country,field
thing,a-me-bob
research,PhD
back,front
job,employment
kind,heart
city,town
part,section
kid,boy
art,painting
friend,Sara
idea,thought
woman,girl
area,place
man,human
head,think
time,line
hand,job
fact,
father,dad
force,power
service,help
point,indicate
art,visual
minute,watch
family,and friends
end,finish
car,round
job,Bible
water,drinkable
year,school
community,family
story,time
day,period
problem,thorny
law,rule
life,death
name,title
morning,noon
level,ground
thing,vague
friend,highway
power,bar
right,left
money,bill
line,fine
girl,friend
kid,you not
mother,father
hour,clock
state,government
book,nook
hour,time
face,towards
home,here
office,work
child,boy
idea,light bulb
world,view
question,mark
place,home
air,balloon
place,position
office,work
room,place
city,sophisticated
reason,sanity
office,boring
door,window
lot,yard
case,study
door,entry
eye,see
change,alter
moment,time
woman,man
month,day
word,word
head,butt
history,lesson
student,read
area,acre
head,poll
week,end
area,
side,line
head,tail
party,gathering
work,play
night,nocturnal
person,human
student,learner
person,me
work,horse
company,friendship
force,obligation
result,product
force,anger
party,drinks
force,mass
lot,more
force,freeze
part,play
part,music
issue,give
part,some
issue,topic
issue,question
way,path
man,woman
way,road
group,combine
group,clique
way,no way
man,woman
research,study
man,bloke
research,triangle
way,down
research,work
way,path
research,look up
car,wash
question,mark
service,work
idea,thought
hand,limb
war,peace
country,land
community,place
minute,time
law,police
woman,female
right,grabbing
eye,see
morning,AM
year,born
result,goal
year,annual
game,contest
life,vitality
reason,why
number,one
case,suitcase
number,count
air,atmosphere
reason,logic
father,parent
mother,parent
member,club
story,telling
life,
state,declare
level,even
line,straight
home,safe
business,shop
job,work
home,heart
kind,type
book,read
child,boy
room,divider
time,age
week,time
guy,honcho
city,buildings
guy,America
kid,child
people,folks
guy,man
thing,something
point,dot
face,up to
day,night
girl,woman
word,spell
power,force
health,wholeness
kid,goat
people,folk
money,game
day,rehabilitation
fact,true
money,cash
school,mar
name,age
name,identity
day,light
end,finish
power,strength
back,spine
health,wel-being
power,strength
problem,inquire
face,countenance
history,study
back,rear
back,return
fact,true
family,siblings
house,home
system,computer
face,head
team,sports
history,medical
power,yield
family,relatives
art,museum
side,country
end,stop
system,operations
friend,buddy
family,kids
face,head
problem,opportunity
problem,answer
system,organization
water,thirsty
art,beauty
world,round
side,vertical
system,connected whole
world,earth
problem,solution
water,milk
family,mom
face,front
world,globe
study,cram
art,craft
face,look
art,color
side,line
house,home
face,look
world,after ten
face,save
water,table
art,culture
world,earth
system,network
team,together
study,learn
water,fluid
water,cooler
team,unity
water,hydrogen oxide
study,experiment
side,along
war,foolish
moment,time
study,learn
study,exam
job,work
study,work
study,learn
right,correct
study,examine
study,learn
study,school
work,weary
change,clothes
study,books
moment,time
law,lawyers
study,homework
car,wheels
job,money
story,fairytale
school,place
idea,thought
eye,sight
game,play
student,learner
word,meaning
eye,iris
moment,time
room,spacious
business,class
time,was
child,girl
question,query
woman,female
company,gregarious
eye,see
member,society
hour,time
mother,mum
eye,see
girl,boy
door,open
mother,loving
place,card
body,language
kind,sweet
girl,female
mother,embrace
idea,light bulb
area,space
hand,face
minute,hour
service,station
air,fair
father,mother
air,breathe
hand,tool
lot,little
father,Pappas
person,man
result,end
book,store
father,mother
person,human being
case,briefcase
person,human
book,read
result,answer
air,tight
result,success
community,hand in hand
community,people
month,year
right,wrong
country,homeland
country,upset
night,owl
book,reader
night,dark
morning,light
morning,noon
party,Thames
country,geography
party,hearty
night,day
party,noisy
party,guest
night,evening
country,mine
party,fun
country,nation
party,event
country,USA
country,town
country,US
kind,nice
door,opening
member,hand
door,open
question,ask
end,done
body,corpus
child,psychology
case,sensitive
name,game
word,turd
area,square
head,toe
fact,truth
time,hour
minute,second
month,time
office,work
time,minute
law,order
school,ties
state,say
story,tale
law,order
question,answer
time,fast
word,dictionary
office,work
law,necessary
place,space
month,year
school,student
number,one
home,body
area,site
place,site
game,football
city,town
woman,me
home,warm
student,university
year,ad
woman,lady
business,enterprise
war,fight
room,space
people,person
head,skull
issue,handkerchief
woman,lady
car,Ford
hour,time
student,learner
thing,object
room,empty
hour,long
reason,logic
war,peace
place,location
room,place
car,race
game,thrones
war,peace
company,business
woman,female
work,job
week,seven days
thing,phrase
issue,children
thing,item
city,town
war,conflict
war,fight
war,horror
line,on
city,NYC
lot,haunted home
line,horizontal
thing,item
reason,sanity
reason,thought
line,geometry
thing,sure
line,dance
reason,think
line,inside
reason,mediate
line,straight
line,straight
line,drive
reason,think
reason,why
line,straight
line,ball
line,a to b
friend,gotta have
line,washing
lot,many
level,carpenter's level
morning,coffee
member,only
life,exist
number,count
morning,dawn
man,he
change,hope
house,cat
job,work
girl,woman
force,wind
life,death
friend,foe
minute,one
health,good
group,gathering
man,woman
kind,hearted
house,home
year,seasons
hand,right
point,shoot
kind,type
house,big
child,parent
kind,type
end,finish
point,sharp
kind,nice
community,college
community,hospital
idea,bright
idea,thought
kid,goat
company,group
community,houses
name,Susan
kid,you
change,money
company,organization
child,infant
right,reecho
body,whose
right,left
job,work
name,say
right,left
job,task
history,past
history,past
history,years
history,world
history,past
history,past
history,lesson
mother,father
minute,second
year,2011
question,ask
result,answer
student,learner
business,cubicles
car,tires
service,military
power,play
power,walk
moment,music
head,body
day,night
power,squadron
back,forward
moment,time
office,desk
health,wealth
force,field
people,lonely
body,human
end,finish
team,football
force,compel
air,sky
guy,friend
people,carrier
money,bags
door,knob
end,death
air,breathe
game,fun
fact,Indisputable
month,year
week,day
word,phrase
result,answer
moment,second
business,enterprise
mother,woman
head,strong
word,text
number,count
group,meeting
number,count
force,impact
people,masses
story,fable
car,gm
body,woman
state,mind
part,separate
people,folks
word,basic unit
team,Steve
people,are strange
team,football
health,plan
business,none
book,read
part,particle
hand,arthritis
car,vehicle
part,time
end,beginning
number,ten
air,fire
money,loot
back,front
car,engine
state,rights
car,wash
hand,left
team,group
hand,fingers
group,ensemble
girl,boy
game,lose
back,body
car,vehicle
back,forward
guy,gal
service,duty
car,motor
state,of war
book,tome
book,library
service,help
state,say
state,hood
car,trouble
story,teller
book,mark
state,of
hand,arm
hand,heart
service,dog
change,alter
child,baby
work,toil
school,education
case,box
issue,topic
man,woman
father,man
girl,lass
art,letters
problem,no
room,key
member,Groucho
system,complex
person,janis
school,high
man,boy
father,son
city,town
friend,Acquaintance
family,mom
morning,day
system,way
home,family
parent,mother
day,today
fact,idea
friend,enemy
question,mark
life,viable
week,work
area,room
year,date
name,title
world,global
city,New York
hour,time
time,hour
work,achieve
parent,mother
week,paper
home,base
parent,father
idea,thought
fact,true
office,desk
city,town
student,learner
friend,amigo
question,query
question,query
world,sphere
area,territory
year,age
idea,thought
fact,true
minute,short
door,opening
hour,minute
office,work
family,gathering
year,date
hour,time
door,open
name,christen
door,passage
life,great
door,open
office,space
area,code
office,worker
student,learn
month,day
door,shut
idea,
office,desk
family,dog
door,knob
idea,new
door,opening
idea,think
family,mom
minute,small
door,opening
door,knob
door,portal
idea,thought
minute,hour
family,kids
month,April
minute,just a
minute,minder
month,of days
door,open
eye,watch
minute,second
minute,small
eye,lid
month,day
family,parents
family,values
minute,maid
eye,ball
eye,vision
eye,glasses
eye,sight
eye,see
eye,I
eye,optical
year,age
eye,glasses
problem,child
lot,pound
money,talks
eye,ball
time,out
member,cast
way,out
eye,ball
side,salad
community,group
member,part
day,calendar
eye,Oculus
eye,brow
company,corporation
eye,catching
place,home
research,learn
law,federal
morning,up
case,violin
issue,newspaper
morning,sunrise
girl,boy
kid,child
way,path
member,vote
company,corporation
child,adult
member,esteemed organ
member,part of
lot,amount
lot,chance
game,pegs
member,club
house,home
night,time
game,play
kid,child
art,beauty
health,ill
result,outcome
house,home
room,house
house,end
story,tale
art,painting
result,effect
level,2
body,parts
change,coins
woman,man
night,day
body,human
art,painting
story,tale
water,ho
girl,school
night,evening
house,home
girl,female
house,home
story,fiction
body,mind
girl,boy
story,tale
head,president
story,tale
head,toe
house,home
story,tale
mother,mom
house,home
story,time
house,home
mother,father
head,butt
house,home
head,brain
mother,father
house,proud
head,shot
house,home
head,top
mother,father
head,hands
mother,love
mother,father
result,good
head,first
head,heart
head,top
mother,mom
result,end
mother,mum
result,end
result,end
head,top
result,conclusion
head,lice
mother,Teresa
result,answer
head,top
mother,warm
mother,father
head,tail
result,answer
business,acumen
day,night
result,end
result,ends
result,score
issue,stance
day,night
community,village
kind,nice
problem,worry
research,white coat
business,courses
name,title
group,gang
power,addict
name,first
word,name
community,local
moment,time
issue,tissue
power,Superman
air,breath
point,finger
word,study
day,today
thing,penis
life,unique
day,light
business,occupation
issue,copy
place,fire
name,no
research,study
word,expression
life,death
system,systemic
word,name
life,living
child,kid
man,woman
issue,heir
health,wellness
community,group
kind,sort
issue,journal
life,death
point,out
word,idea
law,school
research,study
place,location
part,hair
problem,difficult
thing,item
side,lateral
system,way
word,name
force,strength
side,next
number,many
problem,solver
man,hood
world,globe
group,people
problem,math
group,order
force,Star Wars
number,five
research,study
woman,man
work,career
force,push
side,measurement
side,left
problem,solve
work,labor
side,swipe
work,business
world,war
woman,man
world,earth
home,here
level,a level
world,planet
side,story
work,day
home,family
work,aggravation
home,away from home
home,house
home,apartment
change,small coins
school,education
home,work
person,human
guy,dad
part,whole
back,front
guy,gal
money,cash
part,theater
service,giving
week,days
war,fight
school,book
child,little
health,good
friend,enemy
law,prohibition
fact,true
party,fun
week,work
war,awful
case,holder
friend,cowboy
level,video game
job,jobless
war,peace
guy,man
person,human
company,business
job,employment
level,even
way,street or route
guy,wire
company,army
party,house
health,Medicare
team,builder
question,answer
moment,time
child,kid
end,terminus
back,returned
way,method
team,group
case,valise
time,ages
company,companions
father,daddy
back,behind
question,mark
father,dad
company,consolidated
company,guests
back,body
company,calling
back,door
way,manner
end,beginning
case,box
city,streets
change,Obama
city,New York
father,son
change,pocket
end,stop
parent,mother
parent,mom
question,answer
end,final
time,watch
team,group
city,town
parent,nurture
end,finish
city,metropolis
father,parent
city,urban
parent,mom
end,finish
change,grow
end,finale
time,minute
change,move
kid,child
time,now
end,now
parent,mother
change,align
time,hour
city,town
father,dad
father,firm
city,many people
kid,child
parent,discipline
time,flies
father,mine
change,for the better
kid,aliyah
change,life
city,Manhattan
father,dad
father,dad
city,Toronto
city,town
city,people
city,town
city,sky scrapers
city,people
system,decimal
power,strength
water,liquid
place,plane
law,rule
air,breathe
woman,body
book,read
water,wet
area,field
point,game
room,divider
air,travel
hour,time
people,folk
book,novel
system,down
face,up to
place,home
art,form
law,office
right,OK
year,season
game,fun
game,play
point,power
face,lovely
point,taken
lot,plot
number,count
kind,type
student,pupil
month,year
student,young
game,sport
year,end
morning,good
woman,man
fact,truth
book,mark
man,trap
fact,fiction
body,corpus
hour,time
number,amount
art,aesthetics
game,hunting
man,woman
place,site
fact,occurrence
place,location
kind,caring
right,good
number,statistic
money,green
art,painting
body,wash
place,people
body,mind
art,painting
fact,fiction
service,station
game,play
money,dollars
morning,daybreak
fact,item
money,cash
fact,truth
money,cash
morning,dawn
year,annum
body,soul
morning,dew
year,annual
body,language
money,enough
right,wrong
money,lucre
money,cash
thing,
service,customer
thing,object
service,help
service,work
service,smile
right,wrong
service,care
thing,object
thing,item
service,good
service,customer
service,military
service,with a smile
thing,object
thing,object
thing,each
thing,item
thing,some
school,law
thing,something
thing,gadget
thing,hair
thing,object
thing,stuff
people,friends
thing,object
night,darkness
area,sector
thing,item
room,enough
community,center
area,rural
lot,allotment
student,studying
friend,ally
country,south
week,time
room,chamber
school,bus
school,answer
night,darkness
group,support
group,association
week,seven days
student,one who is taught
month,day
lot,for
month,year
friend,enemy
week,weak
office,party
moment,time
area,place
country,state
area,measurement
community,church
room,space
area,circle
hand,foot
country,America
friend,pal
area,play
month,day
business,good
area,grass
power,vice
month,year
lot,a lot
job,position
country,rural
health,good
business,enterprise
night,night
night,day
health,wealth
business,exercise
night,dark
power,and she
name,person
hand,feed
name,me
health,happy
hand,fingers
country,home
name,moniker
hand,play
business,model
business,school
job,fulfill
health,welfare
name,nomenclature
business,duty
job,work
country,open
name,label
business,activity
business,suit
job,employment
job,work
health,happiness
business,company
business,people
health,sickness
people,person
job,boring
force,hard
hour,minute
group,several
girl,lass
part,section
life,death
level,flat
history,lesson
question,ask
day,24 hours
party,politics
office,work
state,proclaim
way,forward
face,expression
force,military
person,individual
hour,time
office,work
force,scary
day,sunrise
case,box
woman,female
hour,time
reason,why
system,analysis
party,popper
world,earth
man,woman
face,nose
hour,day
man,woman
force,be with you
office,workplace
person,of interest
team,I
child,napper
question,why
air,heart
man,woman
person,entity
party,gathering
system,method
way,path
person,people
man,woman
man,attend
system,organization
team,association
day,night
team,sport
world,earth
system,route
system,computer
question,answer
day,daylight
person,personage
child,baby
day,light
child,baby
system,way
case,worker
case,jury
question,answer
system,complex
question,interrogate
idea,bright
system,computer
question,answer
question,ask
day,night
idea,thought
case,detective
question,argue
day,Sunday
child,tot
system,organization
case,survey
idea,brain
day,light
idea,big
case,ligature
system,half
idea,think
system,digestive
idea,thought
system,library
case,study
case,file
idea,brilliant
case,study
system,failure
system,dos
people,person
member,club
water,well
girl,makeup
car,automobile
moment,time
history,world
law,breaker
work,number
research,paper
member,penis
history,past
moment,time
moment,capture
issue,problem
number,quantity
girl,lady
water,liquid
member,limb
number,one
car,speed
research,study
water,moisten
car,auto
water,clean
member,automobile
number,one
car,wheels
work,labor
kid,child
girl,woman
issue,fight
number,digit
guy,dude
water,lake
war,fight
part,hair
girl,boy
part,of
girl,friend
problem,avoiding
number,quantity
part,whole
issue,take
war,evil
water,eau
issue,born
number,runner
water,land
work,play
water,wet
work,play
part,section
problem,issue
water,earth
problem,difficulty
guy,person
car,auto
war,fight
kid,child
part,separate
war,chaos
number,one
guy,man
problem,solve
work,labor
work,play
war,torture
work,play
war,blood
work,time
problem,solved
war,conflict
part,some
problem,worry
part,piece
war,violence
work,effort
problem,challenge
problem,stuck
part,book
problem,question
part,leave
problem,trouble
war,blood
part,piece
problem,equation
war,peace
problem,math
part,piece
problem,solved
part,piece
part,whole
level,even
problem,solution
problem,solve
part,car
problem,issue
part,piece
part,engine
problem,solve
part,actor
problem,situation
problem,solution
community,gathering
home,healthy
part,separate
problem,solve
part,piece
home,comforts
level,degree
life,existence
point,view
group,collaborate
family,parents
book,club
week,day
community,group
law,rule
side,car
power,strength
lot,acreage
family,friends
people,humans
woman,girl
lot,amount
home,house
lot,vacant lot
woman,man
back,forth
family,wife
group,friends
week,work
community,friendship
community,center
lot,fate
back,support
week,seven
right,correct
group,party
group,games
community,environment
back,forward
people,person
group,herd
side,right
people,hate
family,values
back,throat
right,left
right,wrong
word,langauga
word,verb
right,wrong
right,wrong
word,thought
word,process
right,mister
right,often
right,wrong
right,wrong
right,correct
right,relevant
right,left
right,rightist
right,direction
right,wrong
right,direction
right,on
right,away
right,wrong
kind,gentle
right,left
right,correct
right,left
right,wrong
right,wrong
kind,gentle
parent,mother
month,about 30 days
right,correct
company,guest
world,earth
company,friend
place,where
face,confront
team,ball
school,bus
law,jury
reason,rhyme
office,max
book,reading
company,party
air,force
minute,time
book,mark
room,bed
world,geography
office,work
life,vitality
reason,thought
company,friends
life,after
game,toy
life,death
air,breathe
office,space
game,baseball
reason,thinking
law,judge
parent,child
way,road
law,rule
office,assistant
game,football
law,restrictions
life,death
game,change
life,long
month,long
life,force
way,street
month,year
minute,second
life,green
way,to
month,year
way,back
office,yet
game,boy
month,November
minute,short time
way,route
month,twelve
minute,small
way,Appian
parent,teacher
way,go
art,beauty
side,alternate
night,dark
student,neophyte
friend,buddy
room,living
friend,Ellen
team,solidarity
research,inquire
school,college
team,group
force,effort
moment,now
level,flat
hand,palm
team,part
name,me
hand,manual dexterity
power,ability
night,day
side,burn
art,painting
side,be
power,electricity
side,next
team,sport
study,boring
woman,man
force,Maure
morning,good
time,
night,good
history,professor
time,flies
woman,girl
time,hour
night,day
history,war
morning,daybreak
room,space
name,Facebook
kid,boy
study,long
power,struggle
time,flies
research,paper
kid,goat
power,strong
power,might
woman,female
school,teach
history,old
study,hall
story,bedtime
history,wisdom
force,energy
party,political
party,fun
story,time
story,teller
party,fun
party,person
story,teller
story,book
story,tale
country,tis of the
year,one
state,aver
place,spot
week,seven
moment,short
body,water
air,aircraft
year,one
air,fresh
kind,nice
country,United States
kind,type
air,breathe
fact,datum
world,earth
person,man
place,town
air,balloon
end,that's all folks
fact,truth
state,exclaim
state,nation
person,individual
student,learn
point,shoot
point,algebra
book,paper
point,pencil
student,child
door,portal
student,undergraduate
kind,nice
door,opening hinge enter
door,entry
book,worm
fact,truth
face,towards
book,read
job,dog
face,map
end,more
point,direction
book,read
door,open
fact,science
fact,fiction
book,thought
job,market
job,work
face,confront
door,open
door,jamb
book,read
fact,fiction
book,read
face,book
job,seeker
fact,matter
fact,fiction
book,enroll
fact,item
fact,false
job,well done
fact,fiction
job,work
book,binder
job,employment
fact,truth
fact,knowledge
door,jam
face,rock
fact,of life
book,mark
job,work
fact,actual
door,jam
job,work
face,me
face,nose
job,work
door,open
face,ahead
job,task
face,eyes
fact,fiction
door,front
job,money
face,eyes
hour,60 minutes
home,sweet
change,convert
child,middle
family,child
art,Link letter
child,young person
level,even
father,hate
back,reverse
lot,salt
money,launder
level,plumb
father,respect
hour,long
line,manager
back,front
child,infant
line,delineation
level,flat
man,woman
area,around
child,less
room,bed
change,money
lot,many
family,mum
man,dad
body,mine
level,spirit
research,development
level,video game
research,laboratory
child,kid
line,dotted
change,wrong
change,alter
man,homo
man,adult male
child,toddler
line,mark
family,flock
research,data
car,auto
man,woman
lot,group
line,drawing
line,dotted
car,automobile
money,cash
car,auto
world,earth
research,study
girl,boy
girl,woman
research,explore
lot,sale
line,point
research,science
money,cash
girl,boy
research,find
girl,boy
lot,parking
car,automobile
world,view
lot,whole
money,lucre
car,auto
world,earth
car,automobile
year,day
home,house
year,days
body,evidence
reason,justification
country,political domain
place,home
home,house
art,paint
guy,man
group,think
art,history
guy,man
morning,coffee
school,smart
room,with a view
issue,problem
name,"rank, serial number"
reason,think
group,people
issue,children
kid,son
company,visitors
school,Ecole
reason,sanity
member,set
community,group
school,learn
woman,female
health,good
guy,man
body,corpus
room,space
room,bed
issue,item
people,human
friend,Romans
kid,goat
people,populate
member,club
country,landscape
woman,lady
body,anatomy
room,apartment
room,bedroom
member,belong
group,plain
end,book
issue,newspaper
name,title
reason,why
end,fine
group,friends
people,friends
friend,pal
woman,female
study,school
guy,gal
friend,for life
health,doctor
company,business
woman,female
group,number
guy,sexist
friend,pal
study,hall
group,think
end,limit
company,guest
end,stop
group,scouts
study,paper
group,field
end,dead
study,learn
friend,foe
friend,ami
study,learn
week,month
week,work
week,day
week,day
week,year
study,break
week,seven
study,break
week,today
study,learn
place,home
study,school
week,fifty-two
area,rug
study,read
person,human
week,work
week,seven
study,work
study,investigate
game,play
week,period
week,day
study,hard
day,night
week,work
study,break
parent,child
day,night
week,days
student,loan
week,day
number,seven
week,seven days
hand,poker
week,bi
week,seven days
day,night
person,human
number,item
area,square feet
father,mother
week,work
hand,signals
week,day
place,location
hand,left
parent,teacher
number,digits
moment,instant
number,several
student,pupil
number,7
hand,write
night,evening
kind,daughter
state,border
moment,please
father,mother
night,dark
moment,one
state,say
state,New Jersey
father,mother
state,the obvious
night,dark
state,verbalize
moment,hesitation
kind,wife
night,day
state,assert
kind,gentle
moment,second
mother,crazy
party,hardy
health,wellbeing
force,Newton
home,price
power,might
health,wealth
health,happiness
morning,evening
word,thing
office,typewriter
mother,love
community,town
health,blood
question,mark
service,care
party,hearty
name,game
law,legal
country,pasture
power,glory
question,answer
time,clock
force,aggression
family,love
side,agree
force,Star Wars
home,family
year,time
year,birth
question,learn
service,long
community,live
force,work
family,brothers
power,might
country,bumpkin
time,clock
word,write
name,moniker
side,choose
family,dynamic
word,association
country,nation
community,people
country,home
community,neighborhood
side,aside
community,center
team,sport
side,dish
team,player
side,ways
team,work
time,clock
side,saddle
time,clock
side,preference
team,player
side,edge
time,up
team,player
side,by side
team,working together
team,sports
side,edge
side,left
team,mate
side,by
side,adjacent
team,associated grouping
time,in a bottle
side,team
team,football
team,soccer
side,edge
side,next
team,group
side,by
team,leader
team,together
team,comrade
side,near
side,wise
team,mate
team,titer
side,bar
result,marks
student,desk
back,front
school,education
company,firm
kid,children
business,auspicious
back,front
person,human
school,days
school,uniform
minute,second
house,home
water,ice
school,building
area,subject
business,contact
area,space
company,CEO
house,cozy
area,volume
office,work
business,corporation
kid,child
result,outcome
school,books
law,professor
hour,day
history,books
water,lake
hour,minute
art,history
point,geometry
business,plan
hour,glass
back,front
business,today
life,live
member,life
law,and order
point,pencil
art,beautiful
law,judicial
office,business
money,bills
office,job
water,drink
hour,minute
life,matters
hour,24
member,club
body,human
point,finger
body,car
history,school
point,finger
history,study
place,home
member,finger
point,pixel
member,minder
point,compass
money,greed
place,
life,
body,fat
body,torso
history,book
money,cash
point,pencil
history,book
art,artist
money,root of evil
body,and mind
life,death
place,city
body,naked
point,counter
member,joiner
body,work
life,death
body,soul
point,my
body,fat
place,home
money,job
member,organ
history,tale
member,friend
money,cash
body,torso
member,ship
body,female
place,site
member,group
history,past
life,existence
body,corpse
place,time
life,cherries
history,story
history,repeats
place,time
money,time
body,language
member,subscribe
place,put
money,currency
history,world
money,time
member,association
place,go
member,ship
money,love
money,cash
money,value
girl,female
water,life
money,cash
money,power
level,height
service,person
money,grubber
reason,mind
work,passion
party,festive
money,wealth
work,labor
money,cash
parent,mother
money,cash
world,earth
money,corruption
history,books
money,cash
parent,mother
money,dollars
money,moult
money,currency
air,breathe
girl,friend
party,happy times
change,coins
girl,boy
month,twelve
air,atmosphere
day,light
day,night
world,wide
change,money
home,house
minute,little
father,mother
change,different
day,daytime
idea,thought
month,nothing
person,people
day,night
day,night
month,time
home,family
work,slave
parent,mother
month,day
people,humans
parent,company
person,people
air,breathe
mother,child
party,beer
day,sun
person,God
month,menstruation
people,crowds
reason,free will
mother,love
month,time
month,January
level,high
father,mother
person,people
year,time
idea,thought
person,people
person,human
mother,daughter
level,construction
person,hood
idea,Ikea
person,human
person,place
level,spirit
idea,light bulb
man,woman
people,humans
kid,goat
student,pupil
year,end
minute,second
woman,"mary, mother of Jesus"
family,love
issue,child
service,please
family,nuclear
name,designate
story,tell
power,strong
family,love
result,ending
result,product
name,noun
student,child
game,football
year,to-date
room,doom
woman,female
student,work
name,me
kid,little
way,road
question,query
morning,dawn
way,where
minute,time
kind,gentle
issue,proclaim
room,space
game,board
result,answer
game,contest
service,center
game,sport
hand,thumb
hand,foot
word,sentence
service,church
service,help
lot,much
word,deed
word,association
lot,building
lot,many
war,violence
war,battle
lot,playground
lot,many
war,bad
war,fight
moment,movement
office,desk
war,violence
war,blood
world,earth
war,games
war,horrid
art,paint
war,and peace
war,invasion
art,gallery
war,blood
war,peace
reason,thinking
reason,figure
home,hacienda
research,paper
man,hole
story,tale
man,woman
back,hair
question,answer
home,house
art,form
house,home
research,study
world,globe
kind,person
area,space
company,store
reason,excuse
house,home
eye,see
area,locality
house,residence
power,electricity
company,corporation
eye,vision
research,paper
guy,gal
company,b
force,field
company,threes
power,hungry
guy,man
house,home
car,drive
house,domicile
home,plate
eye,ball
reason,sanity
force,against
car,transport
eye,see
guy,man
car,truck
reason,sense
car,vehicle
force,mass
car,vehicle
car,vehicle
car,transport
car,drive
car,truck
mother,son
city,town
water,eau
child,little person
city,town
girl,young woman
minute,60 seconds
child,adult
health,doctor
number,counting
woman,female
way,my
law,rule
law,stern
line,phone
morning,broken
air,force
community,theater
office,desk
country,land
room,bath
change,Obama
way,how
water,whale
girl,young
kid,child
father,dad
question,answer
water,drink
kind,friendly
room,bed
minute,time
country,serene
city,town
number,letter
country,us
community,church
kind,sort
issue,come forth
change,coins
change,grow
father,figure
line,end
head,thoughts
work,study
head,toe
country,US
moment,time
water,lake
moment,time
work,hard
woman,birth
case,court
girl,boy
line,draw
girl,boy
case,sensitive
woman,female
kid,child
student,learner
power,mighty
story,county
word,letters
question,why
door,window
business,busy
student,learner
year,month
parent,child
morning,afternoon
state,Alabama
idea,thought
party,blowout
kid,child
door,opening
student,exam
parent,child
result,product
people,Homo Sapiens
year,1976
back,forth
back,rear
kid,goat
system,organization
office,workplace
mother,mom
back,spine
idea,concept
result,what
friend,enemy
book,read
story,tale
question,answer
air,get rid of
mother,dead
system,organization
air,atmosphere
air,breath
story,book
air,breathe
hour,time
family,ties
hour,minute
office,work
system,working together
mother,loving
idea,thought
family,emotion
idea,thought
idea,thought
health,feels well
friend,buddy
people,family
air,breathe
health,doctor
people,group
idea,random
health,good
people,vote
family,time
party,hardy
people,man
office,cubicle
office,desk
result,outcome
party,politics
office,work
party,affiliation
result,end
family,member
idea,thought
family,mother
result,election
party,Christmas
mother,loving
mother,father
idea,thought
party,hardy
party,animal
office,boredom
hour,glass
office,apparel
mother,woman
office,work
family,relatives
group,project
art,form
case,instance
business,company
business,chance
family,relations
father,patriarch
way,street
group,some
man,human
number,one
end,stop
