cue,R1
state,Alabama
student,exam
people,Homo Sapiens
year,1976
system,organization
mother,mom
book,read
story,tale
question,answer
mother,dead
system,organization
story,book
family,ties
system,working together
mother,loving
family,emotion
people,family
people,group
people,vote
family,time
people,man
family,member
family,mother
mother,loving
mother,father
mother,woman
family,relatives
group,project
case,instance
business,company
business,chance
family,relations
way,street
group,some
man,human
number,one
school,building
man,woman
issue,item
area,space
hand,job
room,mate
home,hearth
home,again
school,college
man,mensch
child,human
way,ward
state,Washington
case,suitcase
state,say
hand,finger
home,love
man,strong
man,woman
home,abode
business,affairs
area,width
man,male
way,route
man,person
hand,digits
hand,fingers
child,children
room,bedroom
state,North Carolina
world,peace
hand,job
room,temperature
hand,give
room,board
world,dying
room,empty
world,sphere
world,view
world,globe
world,round
world,war
world,map
world,globe
world,la mode
world,peace
world,view
world,earth
world,globe
world,globe
year,progression
woman,strong
eye,pyramid
lot,yard
word,bit
eye,sight
woman,female
thing,object
word,spoken
year,month
eye,see
number,phone
thing,crux
eye,iris
thing,anything
eye,sight
woman,wife
thing,object
year,time
woman,female
woman,man
word,games
number,cruncher
number,amount
number,fun
work,study
word,verb
lot,property
word,truth
work,play
work,play
work,horse
work,labor
work,play
story,line
work,retired
work,play
night,day
work,hard
story,tale
work,play
child,son
night,day
time,clock
area,maths
area,square footage
issue,important idea
child,baby
group,people
area,space
life,fulfillment
question,answer
system,mechanism
day,24 hours
system,team
month,day
case,file
school,old
group,individual
issue,magazine
time,waste
group,circle
school,bricks
group,meeting
month,menses
student,teacher
country,map
case,study
student,learning
question,answer
month,time
country,America
day,night
day,night
student,school
issue,forth
issue,magazine
question,answer
student,teacher
country,nation
question,query
student,teacher
country,nation
student,pupil
question,answer
life,light
point,finger
life,awesome
state,America
water,liquid
state,country
life,long
point,shoot
state,say
point,vector
point,finger
life,death
water,bottle
state,country
water,liquid
business,enterprise
business,store
business,monopoly
business,company
business,studies
business,big
story,narrative
place,mat
book,read
case,Sherlock Holmes
lot,much
place,palace
school,building
year,annual
night,day
time,over
time,passes
year,time
company,friend
time,hour
place,home
system,vehicle
school,days
school,education
system,computer
system,manner
company,friends
system,plan
company,troop
system,organization
company,group
system,plan
company,manufacture
company,squad
company,business
company,organization
company,thief
child,school
way,one
number,numeric
child,wee
child,pinafore
room,full
month,moon
story,yarn
thing,item
number,digit
area,perimeter
home,comfortable
home,alone
thing,amobob
area,space
night,mares
area,space
area,playground
thing,inanimate
people,friendly
night,sleep
people,men
night,day
fact,hard
area,neighborhood
night,black
night,sky
fact,fiction
fact,factoid
fact,true
fact,fallacy
month,day
hand,finger
water,cool
issue,problem
word,word
month,twelve
month,this
month,calender
word,verb
woman,man
part,ways
country,nation
job,employment
book,tome
book,magazine
hand,give
job,money
country,home
case,police
way,farer
part,component
case,hardened
group,collective
case,suitcase
group,people
lot,vacant
case,legal
case,study
group,cluster
way,route
way,path
way,which
point,indicate
way,path
point,number
mother,kind
way,method
time,clock
school,pupil
state,Washington
man,woman
eye,full
time,limit
eye,orb
question,ask
family,clutch
man,woman
time,era
state,say
water,liquid
part,two
issue,disagreement
water,liquid
lot,numerous
home,house
water,wet
state,explain
year,long
issue,problem
story,bedtime
story,child
state,region
story,tale
day,sunshine
year,age
home,house
story,tell
state,mind
state,California
story,interesting
day,noon
place,home
job,work
book,read
number,field
child,mother
place,set
book,read
word,number
people,politics
question,answer
country,hills
job,joy
hand,fingers
word,talk
mother,birth
country,nature
student,learner
hand,to mouth
school,children
thing,it
student,pupil
family,tree
student,pupil
room,office
woman,lady
room,with a view
woman,man
woman,sex
family,kin
family,minded
point,direct
point,sharp
child,joy
number,3
eye,ball
point,place
child,wild
mother,lode
lot,of love
issue,publication
eye,look
number,phone
child,son
group,people
year,time
people,persons
group,aggregate
issue,matter
people,man
school,days
school,early
man,woman
man,husband
life,free
water,falls
night,dark
question,answer
mother,adopted
time,clock
part,piece
time,think
lot,play
book,time consuming
word,dictionary
job,hell
day,night
word,books
thing,a ww ii car
home,work
life,living
thing,object
place,snow
thing,ting
year,book
year,date
year,time
place,location
place,location
mother,guilt
month,January
lot,files
mother,moms face
job,task
life,saver
night,knight
book,read
room,space
question,ask
family,mom
group,set
family,comes
people,crowd
room,space
book,read
hand,help
book,read
problem,difficulty
case,container
book,store
fact,true
school,work
fact,fiction
issue,magazine
number,four
case,notes
area,square
water,H2O
issue,books
area,land
home,house
case,study
area,seven
country,land
part,piece
country,land
man,woman
country,Australia
country,farm
part,time
part,hair
part,goodbye
business,acumen
school,acumen
eye,full
number,one
lot,of
point,view
job,done
time,about
student,learner
job,work
problem,hindrance
problem,
problem,solution
child,kid
study,lecture
water,liquid
woman,female
child,aneesh
child,young person
study,learn
work,play
life,death
people,tortoise
water,toilet
life,meaning
people,others
story,history
story,child
woman,female
month,calendar
people,crowd
month,28 days
system,processing
month,calendar
month,June
word,play
word,sentence
system,order
way,path
word,up
word,writing
word,language
word,speech
word,life
word,
word,sentence part
eye,nose
mother,sweet
business,model
fact,fiction
state,nation
time,minute
fact,reality
home,run
state,insanity
mother,father
group,team
lot,a
family,relatives
group,gathering
day,night
man,woman
point,finger
family,happy
issue,topic
number,house
school,tie
room,saloon
room,closed
room,case
room,living
life,vitality
number,quantity
area,breadth
issue,problem
job,employment
way,exit
job,interview
time,measure
year,annual
lot,deserve
man,woman
time,clock
point,finger
student,scholar
school,learn
woman,female
eye,sight
eye,ball
eye,nose
eye,for
eye,vision
business,work
way,path
system,computer
night,shade
mother,mater
family,friends
area,space
water,drink
company,three's
number,one
school,class
family,mother
night,sleep
people,multitude
area,region
woman,man
question,ask
area,size
year,birth
point,graph
student,school
state,county
home,house
study,work
state,physical condition of something
group,collection
work,necessary
study,learn
lot,salt
thing,item
place,site
thing,object
man,woman
issue,problem
part,of
story,tale
man,of the house
man,husband
thing,cousin it
place,name
place,square
life,day
child,children
child,parent
child,infant
child,mother
life,line
child,birth
system,organization
life,eternal
point,tip
woman,female
month,year
question,answer
system,body
day,light
student,driver
fact,or fiction
problem,trouble
part,hair
problem,easy
student,learn
job,task
story,tale
people,person
group,cluster
business,lucrative
work,pain
people,human
number,digit
number,math
time,measure
business,work
student,learning
story,tale
water,life
lot,plot
country,paisano
work,play
time,out
right,wrong
way,method
water,swimming pool
water,liquid
book,read
home,comfort
home,sweet
issue,problem
issue,big
home,go
book,signing
book,read
book,journal
issue,dispense
company,work
issue,problem
company,work
company,manager
company,business
family,love
point,message
case,suit
study,hall
month,year
part,section
night,good
day,light
question,mark
school,days
year,annual
job,position
way,road
school,work
part,my
room,temperature
room,place
state,of agitation
right,left
lot,burial
room,bed
job,employment
woman,man
hand,tool
lot,parking
fact,information
right,opposite of left
hand,ball
woman,girl
fact,answer
woman,female
mother,love
mother,woman
mother,father
mother,mom
mother,love
mother,sliced bread
mother,mom
mother,mom
mother,father
mother,woman
mother,sacrifice
mother,wife
mother,father
mother,mummy
system,procedure
mother,mom
group,collective
mother,mama
mother,comfort
case,study
thing,some
family,love
night,dark
state,condition
day,diurnal
time,illusion
day,bright
man,male
point,tip
area,region
area,vicinity
man,gender
study,fun
year,old
story,contest
story,tale
question,answer
country,Spain
way,no way
area,field
way,path
area,space
month,January
number,lots
way,out
area,rug
study,guide
story,tale
country,place
story,history
place,name
number,figure
place,location
month,day
month,November
number,quantity
work,job
work,money
night,day
work,hard
point,aim
work,travail
night,evening
work,play
work,office
lot,wife
family,ties
student,visa
thing,object
life,alive
state,current condition
group,categorize
year,new
people,persons
world,global
job,work
life,vitality
life,joy
water,lake
world,large
job,work
eye,glass
part,two
part,separate
part,divide
eye,see
job,work
case,instance
job,work
part,hair
eye,finger
eye,glasses
world,planet
job,calling
school,study
job,related
job,task
job,work
school,elementary
job,occupation
case,study
school,days
school,academy
school,learn
school,homework
case,bank
school,learning
case,box
school,children
school,education
case,worker
job,offer
job,Steve
school,study
case,study
job,work
job,to do
job,work
country,peaceful
job,work
fact,closed
home,family
fact,figure
child,small
woman,adult
question,why
lot,a
child,boy
people,many
point,indicate
money,dollars
year,sun
lot,plenty
man,woman
child,little
money,rich
state,Maryland
year,365 days
right,wrong
lot,group
system,scheme
year,annum
people,humans
company,guest
year,calendar
money,cash
study,pencil
state,mention
study,learn
family,tree
question,ask
place,where
home,hearth
business,sense
right,left
woman,curvy
day,morning
question,answer
business,copy
water,fluid
place,spot
business,enterprise
issue,volume
day,long
room,space
issue,problem
man,gender
man,self
woman,shapely
student,learner
group,association
problem,situation
student,learning
man,woman
room,mate
man,woman
student,university
problem,solution
problem,solved
room,
student,learner
group,women
student,learner
problem,obstacle
problem,issue
group,association
group,study
problem,difficulty
problem,solution
group,many
problem,fix
group,clique
group,together
problem,fix
group,team
problem,solution
problem,solve
group,bunch
problem,solution
group,time
group,association
problem,solving
water,drink
group,family
night,dark
month,day
hand,foot
way,lost
week,toil
month,30 days
point,reason
time,clock
point,see
week,covering
point,shoot
way,method
way,path
way,route
way,path
company,firm
time,rush
company,firm
thing,
country,United States
thing,item
thing,object
thing,monster
thing,such
thing,noun
night,dark
country,lane
world,globe
word,therefore
story,tale
book,page
hand,helping
time,clock
word,game
story,tale
word,want
word,language
hand,need
word,good
water,H2O
family,friend
day,night
home,shelter
family,mother
day,light
study,hall
home,house
family,close
study,hard
time,place
study,peruse
time,watch
time,now
study,attention
home,place
time,measure
home,house
home,cozy
home,house
home,house
home,place
part,party
state,elocute
home,hearth
home,house
business,money
child,abuse
lot,whole
woman,feminine
month,time
world,globe
business,suit
month,day
month,year
room,space
business,controlling
system,work
country,USA
place,home
woman,man
country,home
area,perimeter
life,
people,lots
place,city
people,humans
life,spring
country,place
place,London
room,door
fact,based
fact,fiction
fact,fiction
number,letter
fact,news
day,night
eye,ball
day,night
people,persons
people,crowd
number,how many
week,day
eye,pupil
night,moon
eye,optical
day,morning
eye,chart
number,count
week,time
night,dark
night,day
number,digit
night,day
number,5
world,earth
issue,give
question,problem
point,out
question,always
year,long
company,two
child,memory
point,pencil
year,birthday
book,read
hand,help
book,hardcover
company,friends
book,read
state,division of the US
issue,children
week,long
state,united
child,welfare
world,war
story,board
story,tale
hand,grab
water,thirsty
part,small
world,view
hand,over
book,study
part,way
water,drink
lot,size
lot,bunch
lot,field
lot,salt
lot,group
lot,acre
right,left
room,roommate
money,cash
room,house
woman,beauty
area,total
system,systematic
system,
right,wrong
area,space
woman,female
right,correct
money,dollars
system,gambler
life,breathing
right,correct
life,adventure
student,fun
state,
issue,problem
business,job
case,study
question,answer
student,learn
question,what
year,best
child,baby
water,wet
part,do
water,Agua
question,response
point,sharp
part,piece
state,country
water,pitcher
issue,problem
way,road
water,cool
child,fun
man,woman
way,verge
issue,problem
way,forward
issue,problem
state,nation
man,woman
business,grandfather
state,nation
company,entity
business,enterprise
year,time
company,business
company,friends
point,finger
state,main
year,generation
man,husband
state,territory
year,365
company,talk
year,time
state,location
year,calender
company,work
year,millennium
year,date
area,acre
room,mess
story,imaginative
money,cash
thing,item
word,meaning
hand,help
case,valise
woman,man
money,savings
people,love
week,seven days
people,population
student,learner
week,day
family,friends
hand,manipulate
room,green
case,holder
day,night
fact,truth
week,weekend
week,month
week,period
day,shine
place,here
word,language
week,day
day,today
day,night
student,teacher
week,seven days
week,workweek
place,put
fact,logic
fact,truth
money,livelihood
fact,a given
thing,item
fact,fiction
place,home
thing,past
people,smile
place,set
story,board
family,mum
part,thing
woman,great
work,money
woman,man
book,read
book,read
month,December
story,tale
point,circle
point,finger
child,my
point,blank
family,dad
child,young
time,25
point,pen
time,space
night,evening
system,way
time,bottle
time,era
night,day
child,children
time,flies
system,computer
night,evening
study,hard
world,small
world,map
night,day
study,homework
night,day
world,globe
night,evening
night,time
world,globe
world,map
study,book
world,globe
night,night light
world,war
night,light
study,group
study,school
world,peace
night,time
study,learn
world,huge
world,huge
study,read
study,books
world,vast
world,earth
study,learn
study,room
world,ocean
part,hair
world,peace
study,microscope
world,warming
study,book
study,pore over
world,globe
eye,look at
world,wide
study,hard
study,exams
area,research
business,study
study,science
man,woman
question,answer
study,read
study,books
study,educate
month,day
study,college
man,human
question,answer
hand,body part
part,whole
school,bus
business,plan
book,read
month,day
case,box
business,work
right,correct
area,space
school,building
word,speak
school,test
number,one
life,work
right,wrong
hand,stand
case,box
room,space
way,path
word,sentence
room,bed
word,play
room,living
way,route
country,exurb
room,house
room,space
country,cousin
word,swear
way,Tao
country,county
way,route
room,living
room,rent
country,America
way,fare
country,nation
way,path
way,to
country,music
country,city
number,count
number,nine
issue,magazine
case,file
student,school
eye,window
number,five
life,being
system,way
work,toil
people,folk
issue,tissue
family,work
life,song
system,ordered
life,long
life,death
life,death
life,love
family,children
system,organization
family,friends
family,adverb
family,tight
family,tablecloth
family,mother
eye,ball
family,pain
eye,see
eye,eyeball
family,children
eye,ball
family,friends
family,values
family,sisters
family,circle
family,relatives
eye,sight
eye,tooth
eye,elephant
story,book
work,job
work,job
company,store
question,ask
work,money
question,authority
woman,man
day,break
question,ponder
work,awful
day,24 hours
hand,foot
day,night
student,location
part,hairline
company,of others
hand,fingers
company,group
hand,finger
company,guests
day,sun
right,wrong
book,read
area,length x width
money,moolah
water,blue
money,dollars
right,correct
water,liquid
money,green
book,read
right,left
right,OK
area,space
area,space
money,currency
area,district
area,space
money,cash
area,large
money,filthy
man,woman
area,place
water,liquid
man,woman
man,
man,woman
man,woman
man,woman
man,person
issue,problem
story,fairytale
school,blue
story,glory
woman,lady
month,year
school,yard
place,here
story,book
child,kid
point,finger
child,young
point,click
lot,feed
lot,yard
business,deal
case,study
point,pin
people,class
business,company
case,file
business,lot to do
people,crowds
case,study
business,man
people,persons
lot,auction
lot,acre
people,humans
thing,object
business,world
case,upper
thing,something
people,social
business,money
thing,substance
people,crowded
case,law
lot,of salt
business,work
case,box
case,study
thing,Dr Seuss
people,places
people,crowds
people,friendly
people,person
thing,noun
people,family
thing,sewing machine
thing,wild thing
people,crowd
thing,last
people,nation
word,paragraph
place,home
thing,own
woman,legal
place,keeper
part,section
part,role
month,December
part,and parcel
number,tally
book,read
system,operations
part,car
month,year
part,of
part,car
month,week
number,various numbers
book,read
number,too many
number,counting
number,data
book,read
book,report
book,save
book,title
book,binding
student,work
fact,fiction
hand,foot
year,Friday
problem,strength
fact,item of truth
issue,discussion
child,tot
word,John
question,period
water,dilute
child,tot
problem,poser
state,full
problem,solve
woman,female
state,n.h.
woman,pretty
water,company
water,drink
water,fall
water,bottle
point,meaning
day,night
work,earn
hand,finger
week,month
issue,resolve
issue,give
word,write
work,week
time,clock
issue,newspaper
story,funny
home,school
word,
work,employment
week,work
question,ask
school,reading
company,guests
question,ask
group,church
school,hell
work,ethic
system,theory
word,sentence
system,network
system,arrangement
company,corporation
week,seven days
hand,out
school,elementary
company,corporation
system,process
year,age
hand,right
system,of a down
year,month
system,organization
company,friends
year,month
company,accounts
hand,left
company,board
company,corporation
system,environment
place,value
system,down
job,search
year,time
place,town
system,operating
place,home
job,home
place,spot
year,annum
job,employment
place,
job,work
job,obligation
place,put
place,home
place,hide
job,application
job,salary
state,say
place,put
place,location
job,work
right,left
group,committee
right,wrong
life,people
child,small
state,Maine
right,on
day,now
time,infinite
mother,father
child,son
group,people
group,crowd
point,line
day,sun
woman,joy
fact,proven
home,comfort
day,night
woman,man
home,dwelling
fact,
student,school
fact,reality
home,house
day,night
student,study
home,house
story,telling
story,book
story,tale
woman,me
home,here
home,comforts
fact,reality
fact,matter
story,telling
story,time
fact,train
fact,data
fact,datum
problem,idea
time,clock
life,joy
problem,question
mother,Lois
money,currency
money,dollar
lot,group
lot,parking
lot,much
money,currency
money,ball
lot,many
question,answer
lot,plenty
question,answer
point,and shoot
question,
point,best
question,mark
question,mark
point,direction
point,guard
point,no
area,carpet
point,mouse
point,shoot
point,finger
state,California
word,sentence
country,United States
life,death
state,say
state,California
mother,Madre
country,farm
room,library
country,land
school,high
country,principality
state,nation
word,association
way,opening
way,to go
school,education
room,space
time,clock
month,day
child,minder
month,January
room,space
issue,problem
issue,magazine
issue,children
issue,at hand
business,buy
way,via
business,money
child,son
mother,love
night,post
man,woman
mother,protect
area,around
child,parent
time,closing
man,male
number,digit
work,wage
night,tine
group,groupie
mother,mum
work,retired
life,force
night,time
problem,stress
mother,father
right,bright
work,hard
hand,work
life,love
student,demonstration
time,passage
night,dark
right,correct
group,together
hand,beer
work,play
time,past
right,correct
night,Jack
life,get
area,green
week,seven days
student,teacher
problem,solution
week,day
week,month
problem,question
week,days
problem,bad
problem,difficulty
week,day
week,day
case,study
woman,man
water,aqua
school,learn
water,swim
word,play
day,morning
water,life
eye,see
book,enjoy
number,math
book,read
eye,full
eye,bright
eye,keen
eye,blue
word,yo
story,reading
way,route
word,phrase
child,baby
case,holder
story,fairy
number,count
day,gone
word,association
child,kid
child,kid
month,year day
story,fable
child,kid
year,calendar
student,young
number,count
school,room
child,father
woman,man
student,school
hand,arm
money,cash
group,therapy
hand,foot
room,bedroom
room,space
money,cash
room,inn
hand,glove
hand,left
room,bed
group,herd
room,study
money,cash
room,rest
group,hug
money,honey
business,world
group,people
money,dollar
room,bath
money,cash
group,collection
room,bed
money,earning
day,night
room,cozy
group,hug
area,space
issue,topic
way,out
hand,glove
home,house
time,flies
part,whole
woman,man
right,correct
man,woman
issue,subject
company,business
part,section
right,wrong
thing,object
part,leave
month,time
way,too
woman,man
month,season
year,time
month,year
month,calendar
way,path
way,direction
area,space
case,situation
year,age
year,age
year,another
case,song
case,briefcase
school,fish
school,elementary
school,days
lot,lottery
school,classroom
life,death
country,opposite of city
company,officers
question,answer
book,read
book,codicil
home,house
business,stocks
number,phone
business,money
mother,mine
home,house
day,night
time,hour
time,after time
country,continent
student,college
thing,some
problem,health
life,death
night,day
story,time
lot,auction
mother,father
issue,idea
day,to day
story,tale
question,information
problem,question
woman,man
word,Bible
problem,solution
mother,mama
state,condition
right,yes
water,wet
area,square
work,a day
number,quantity
lot,parking
work,hard
number,one
man,woman
area,here
lot,group
fact,knowledge
student,learn
man,brave
fact,fiction
company,logo
company,sondheim
student,struck
man,mourn
student,youth
student,education
company,business
company,friends
night,evening
business,plan
thing,swamp
water,H2O
book,tome
water,waiter
day,night
people,places
thing,item
part,hair
woman,man
thing,nothing
home,house
woman,equal
issue,trouble
word,basic
system,down
life,death
home,comfort
issue,quality
world,war
home,sweet
life,breathe
word,promise
world,globe
right,correct
life,blood
word,focal
job,work
time,thyme
job,work
right,wrong
job,work
right,left
year,days
area,circumference
hand,ring
work,job
work,play
people,group
hand,right
book,read
area,locale
place,home
system,computer
story,book
month,day
book,study
family,happy
part,section
month,day
story,book
state,position
time,dimension
way,direction
night,dark
number,phone
question,answer
part,section
case,lawsuit
child,adult
case,study
state,of mind
mother,me
eye,blink
case,book
way,no way
country,USA
state,Mississippi
country,us
time,in a bottle
week,seven
country,place
way,out
way,road
week,seven days
eye,see
business,entrepreneur
week,seven
eye,see
eye,see
week,calendar
week,day
week,seven days
week,month
year,old
problem,trouble
water,ice
number,telephone
government,capital
government,laws
student,scholar
system,thinking
point,pencil
study,hall
water,swim
group,gather
work,trial
thing,penis
program,music
program,show
business,science
world,planet
program,score card
right,wing
right,dexterous
world,earth
world,universe
point,sharp
question,mark
study,den
thing,any
work,play
country,Canada
water,swim
system,product
business,work
group,association
student,visa
group,cohort
question,mark
point,map
student,learner
right,correct
study,review
water,pure
work,retire
thing,object
government,bailout
system,organization
program,compute
government,big
study,science
business,affair
student,college
work,play
group,crowd
thing,stuff
question,query
right,left
point,tip
system,overload
water,fresh
program,agenda
work,hard
student,teacher
question,mark
study,research
right,wrong
thing,the
government,red-tape
program,layout
government,study
program,show
government,necessary
program,plan
government,waste
program,TV
government,people
program,code
government,people
program,folder
government,rule
program,run
government,White House
program,booklet
program,school
government,big
program,theater
government,politics
program,TV
government,insipid
program,computer
program,television
government,bureaucracy
program,computer
government,parliament
government,politics
program,schedule
government,bad
program,course
government,state
program,computer
program,help
government,country
program,preset
government,law
program,school
government,lead
program,computer
government,system
government,parliament
program,function
government,mystery
government,power
program,write
government,Washington
government,Obama
program,code
program,code
program,coding
government,rule
government,White House
government,Australia
government,big
program,school
government,rule
program,update
program,computer
government,council
program,study
program,code
government,distress
government,governor
government,politics
program,computer
program,computer
government,democracy
government,ruler
government,people
government,authority
program,Playbill
program,progress
program,create
program,story
government,wrong
government,rule
program,computer
program,computer
government,cops
government,awful
government,big
government,jobs
program,study
program,computer
program,code
program,computer
program,
program,computer
program,computer
program,programmer
program,computer
program,computer
program,beef
government,oppressive
government,Orwellian
government,abuse
government,big brother
government,country
government,people
government,building
government,politics
government,control
government,federal
government,oppressive
program,computer
program,venue
program,computer
program,school
government,control
government,sucks
government,regulations
program,school
program,computer
government,bush
government,serious
government,White House
program,show
program,complete
program,computer
government,big
government,authority
program,computer
program,computer
government,America
government,bed
government,corruption
program,computer
program,visual
government,US
program,brochures
program,program
program,application
government,local
program,events
program,computer
government,democracy
government,bad
government,parliament
government,capitol
program,
government,corrupt
program,television
program,computer
program,computer
government,white
government,people
government,people
government,president
program,computer
government,politics
program,computer
program,fix
government,assholes
government,scum
program,pogrom
government,politics
program,computer
government,president
program,study
government,bureaucracy
program,computer
program,cookie
government,representation
government,bad
government,futile
program,music
program,study
government,United States
government,law
program,computer
program,Pascal
government,ruler
program,computer
government,stable
government,labor
program,show
government,corrupt
program,computer
program,write computer job
government,election
program,code
program,evaluation
government,bureaucracy
program,agenda
program,computer
government,shitty
government,politics
program,
program,system
life,vida
people,humans
night,rest
man,woman
man,woman
place,person
room,space
program,compute
issue,magazine
night,owl
hand,left
life,line
month,calendar
family,relationship
hand,finger
man,male
school,learn
job,
place,location
month,day
time,watch
life,death
room,closed
mother,fucker
family,friends
lot,parking
job,work
money,cash
night,sleep
hand,foot
life,purpose
place,location
school,student
